"AtletaID","nome","posicao","partidas","faltas_cometidas","finalizações_defendidas","finalizações_fora","faltas_sofridas","gols","impedimentos","roubadas","cartoes_amarelos","passes_errados","assistencias","jogos_sem_sofrer_gols","defesas_dificeis","finalizacoes_trave","gols_sofridos","cartos_vermelhos","gols_contra","penaltis_perdidos","defesas_penalti"
63172,"Paulão",3,36,20,2,3,11,2,1,15,3,63,1,11,0,1,0,0,1,0,0
63194,"Carlinhos",2,36,31,3,3,51,0,1,36,1,68,1,9,0,0,0,0,0,0,0
63219,"Luan",5,36,36,9,18,27,7,11,44,7,105,4,0,0,0,0,0,0,0,0
63283,"Esquerdinha",4,36,7,4,4,24,0,1,16,1,44,2,0,0,0,0,0,0,0,0
63354,"Rodrigo Moledo",3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63418,"Leandro Silva",3,36,54,1,6,18,0,2,37,10,80,1,13,0,0,0,0,1,0,0
68685,"Alan Patrick",4,36,26,10,18,44,7,1,21,5,100,5,0,0,0,0,0,0,1,0
68690,"André",5,36,23,7,16,48,13,25,19,4,77,6,0,0,2,0,0,0,0,0
68693,"Armero",2,36,6,0,1,5,0,1,1,1,17,2,1,0,0,0,0,0,0,0
68697,"Bernardo",4,13,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
68698,"Bruno Silva",4,36,50,6,8,14,1,5,46,8,88,0,0,0,1,0,0,0,0,0
68711,"Chiquinho",2,36,12,0,1,11,0,0,9,2,27,0,2,0,0,0,0,0,0,0
68744,"Emerson",5,36,41,8,21,79,5,5,19,7,88,1,0,0,2,0,0,0,0,0
68758,"Fernandinho",5,29,7,1,3,20,1,0,4,2,30,0,0,0,0,0,0,0,0,0
68773,"Henrique",5,23,35,16,18,32,12,12,12,4,39,1,0,0,1,0,1,0,0,0
68787,"Lincom",5,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68807,"Neto Berola",5,36,16,2,7,30,1,0,7,6,31,0,0,0,1,0,0,0,0,0
68808,"Nino Paraíba",2,36,34,3,10,45,0,6,49,8,154,4,6,0,0,0,0,0,0,0
68817,"Paulo Miranda",3,7,11,1,1,3,1,0,10,2,9,0,2,0,0,0,0,0,0,0
68821,"Rafael Galhardo",2,36,39,13,16,38,2,6,33,8,155,2,15,0,2,0,0,0,0,0
68827,"Renato Chaves",3,36,29,5,10,18,2,2,46,8,67,1,9,0,0,0,0,0,0,0
68830,"Ricardinho",4,36,10,0,2,14,1,1,13,1,23,2,0,0,0,0,0,0,0,0
68834,"Rithely",4,36,66,5,16,33,1,1,71,9,130,2,0,0,0,0,0,0,0,0
68872,"Marcelo Lomba",1,36,0,0,0,5,0,0,0,1,18,0,12,73,0,39,0,0,0,1
68873,"Paulo Victor",1,36,0,0,0,5,0,0,0,3,23,0,6,28,0,34,0,0,0,0
68884,"Klever",1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68887,"Gum",3,36,33,5,4,17,1,0,32,5,88,1,9,0,1,0,2,0,0,0
68893,"André Lima",5,36,23,9,13,28,10,4,7,4,46,3,0,0,0,0,0,0,1,0
68904,"Vítor",2,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
