"atletas.atleta_id","nome","atletas.posicao_id","partidas","faltas_cometidas","finalizações_defendidas","finalizações_fora","faltas_sofridas","gols","impedimentos","roubadas","cartoes_amarelos","passes_errados","assistencias","jogos_sem_sofrer_gols","defesas_dificeis","finalizacoes_trave","gols_sofridos","cartos_vermelhos","gols_contra","penaltis_perdidos","defesas_penalti"
63219,"Luan Madson Gedeão De Paiva","ata",38,64,3,26,44,3,4,88,6,111,5,0,0,1,0,0,0,0,0
63289,"Edenílson Andrade Dos Santos","mei",38,33,3,12,41,3,2,44,8,73,5,0,0,0,0,1,0,0,0
63354,"Rodrigo Modesto da Silva Moledo","zag",38,24,2,12,30,2,2,46,4,30,0,13,0,0,0,1,0,0,0
63422,"Jucilei da Silva","mei",38,49,0,2,42,0,0,79,5,64,0,0,0,0,0,0,0,0,0
68690,"André Felipe Ribeiro de Souza","ata",38,45,4,14,32,4,13,10,5,41,0,0,0,0,0,0,0,0,0
68696,"Bergson Gustavo Silveira da Silva","ata",38,22,3,20,16,3,4,5,6,14,1,0,0,0,0,0,0,0,0
68698,"Bruno César Pereira da Silva","mei",38,35,2,13,13,2,0,26,5,35,1,0,0,1,0,0,0,0,0
68727,"José Rodolfo Pires Ribeiro","lat",38,25,1,13,40,1,2,76,6,96,3,14,0,1,0,0,0,0,0
68744,"Márcio Passos de Albuquerque","ata",38,8,0,3,15,0,1,4,3,10,2,0,0,1,0,0,0,0,0
68745,"Emiliano Gabriel Vecchio","mei",21,2,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0
68770,"Guilherme de Aguiar Camacho","mei",38,31,1,5,14,1,0,36,2,37,0,0,0,0,0,1,0,0,0
68784,"Sérgio Dutra Júnior","ata",38,25,0,9,17,0,0,14,2,29,1,0,0,0,0,0,0,0,0
68800,"Maximiliano Gastón López","ata",26,56,7,15,22,7,7,5,8,37,6,0,0,2,0,0,0,0,0
68808,"Severino do Ramo Clementino da Silva","lat",38,25,0,5,36,0,0,54,4,45,1,8,0,0,0,0,0,0,0
68810,"José Maria Ortigoza Ortiz","ata",10,3,0,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0
68817,"Jonathan Doin","zag",38,12,0,4,16,0,1,23,2,31,0,7,0,0,0,0,0,0,0
68821,"Rafael Galhardo de Souza","lat",38,8,0,7,9,0,1,7,2,28,0,0,0,0,0,0,0,0,0
68827,"Renato de Araújo Chaves Júnior","zag",16,12,0,0,6,0,0,23,2,22,1,3,0,0,0,0,0,0,0
68834,"Francisco Rithely da Silva Sousa","mei",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68872,"Marcelo Lomba do Nascimento","gol",38,0,0,0,5,0,0,1,1,7,0,10,34,0,18,0,0,0,0
68873,"Paulo Victor Mileo Vidotti","gol",38,0,0,0,3,0,0,0,2,8,0,9,22,0,18,0,0,0,0
68886,"Rodrigo Júnior Paula Silva","zag",38,35,1,5,12,1,0,32,3,34,0,10,0,0,0,0,0,0,0
68887,"Welington Pereira Rodrigues","zag",38,34,1,8,14,1,1,26,5,53,1,11,0,0,0,0,0,0,0
68893,"André Luiz Barretto Silva Lima","ata",38,36,2,5,28,2,5,5,3,21,0,0,0,0,0,0,0,0,0
68895,"Wellington Alves da Silva","ata",38,4,1,0,8,1,0,2,0,15,1,0,0,0,0,1,0,0,0
68896,"Ramon de Morais Motta ","lat",38,17,1,5,19,1,0,29,2,56,0,3,0,0,0,0,0,0,0
68901,"Rodrigo Pimpão Viana","ata",38,27,1,13,25,1,0,26,9,48,0,0,0,1,0,0,0,0,0
68910,"Anselmo de Moraes","mei",9,19,2,4,14,2,0,37,2,14,1,0,0,1,0,0,0,0,0
68911,"Diego Souza de Andrade","mei",38,44,12,18,43,12,15,7,0,61,3,0,0,2,0,1,0,0,0
68917,"Vinicius Santos Silva","ata",38,8,0,5,9,0,1,2,0,16,0,0,0,0,0,0,0,0,0
68918," Bruno Paulo Machado Barbosa","ata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68920,"Eduardo Pereira Rodrigues","ata",38,28,7,22,127,7,4,18,9,104,14,0,0,2,0,1,0,1,0
68925,"Leonardo Fabiano da Silva e Silva","zag",38,34,4,8,28,4,4,40,8,55,0,9,0,1,0,0,1,0,0
68928,"Rafael Pires Monteiro","gol",38,1,0,0,3,0,0,0,0,1,0,4,12,0,7,0,0,0,0
68930,"Welker Marçal de Almeida","ata",38,29,7,13,56,7,9,8,0,39,2,0,0,0,0,0,0,0,0
68938,"Giovanni Augusto Oliveira Cardoso","mei",38,17,0,11,19,0,1,18,3,52,2,0,0,0,0,0,0,1,0
68950,"Ronaldo Luiz Alves","zag",38,30,0,9,32,0,4,38,9,34,0,7,0,0,0,0,0,0,0
68952,"Mário Sérgio Santos Costa","ata",27,17,1,12,22,1,1,13,4,17,1,0,0,0,0,0,0,0,0
68953,"Leandro Damião da Silva dos Santos","ata",38,34,10,25,32,10,8,7,3,41,2,0,0,0,0,0,0,1,0
68954,"Marcos Gabriel do Nascimento","mei",18,10,1,5,10,1,0,3,2,14,0,0,0,0,0,0,0,0,0
68956,"Ernandes Dias Luz","lat",6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68979,"Giovanni Aparecido Adriano dos Santos","gol",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68995,"Régis Ribeiro de Souza","lat",26,10,0,1,4,0,0,12,3,17,1,4,0,0,0,0,1,0,0
69008,"Hélio Hermito Zampier Neto","zag",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69012,"Aderbar Melo dos Santos Neto","gol",38,1,0,0,6,0,0,0,3,22,0,14,48,0,26,0,0,0,0
69014,"Manoel Messias Silva Carvalho","zag",38,17,1,1,13,1,1,9,3,25,0,6,0,0,0,0,0,0,0
69018,"Deivid Willian da Silva","mei",38,26,0,2,27,0,0,22,6,23,0,0,0,0,0,0,0,0,0
69022,"Marcelo Cirino da Silva","ata",27,13,4,8,11,4,1,7,1,28,0,0,0,0,0,0,0,0,0
69040,"Vladimir Orlando Cardoso de Araújo Filho","gol",38,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
69047,"Paulo Roberto da Silva","mei",38,5,0,1,2,0,0,13,2,10,0,0,0,0,0,0,0,0,0
69051,"Danilo Fernandes Batista","gol",38,0,0,0,2,0,0,0,0,3,0,6,14,0,10,0,0,0,0
69138,"Pablo Felipe Teixeira","ata",38,70,11,27,25,11,24,37,5,35,2,0,0,3,0,0,0,0,0
69141,"Ricardo Bueno da Silva","ata",18,3,0,2,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0
69177,"Leonardo Moreira Morais","lat",38,25,0,3,28,0,3,29,6,36,1,3,0,1,0,1,0,0,0
69249,"Martín Andrés Silva Leites","gol",38,0,0,0,1,0,0,0,3,5,0,3,30,0,29,0,0,0,0
69705,"Maycon Vinícius Ferreira da Cruz","mei",38,33,2,27,45,2,8,23,5,73,6,0,0,5,0,1,0,0,0
70009,"Romulo Borges Monteiro","mei",38,6,0,1,1,0,0,4,1,7,0,0,0,0,0,0,0,0,0
