"AtletaID","nome","posicao","partidas","faltas_cometidas","finalizações_defendidas","finalizações_fora","faltas_sofridas","gols","impedimentos","roubadas","cartoes_amarelos","passes_errados","assistencias","jogos_sem_sofrer_gols","defesas_dificeis","finalizacoes_trave","gols_sofridos","cartos_vermelhos","gols_contra","penaltis_perdidos","defesas_penalti","mediaFC","mediaFD","mediaFF","mediaFS","mediaG","mediaI","mediaR","mediaCA","mediaPE","mediaA","mediaJSG","mediaDD","mediaFT","mediaGS","mediaCV","mediaGC","mediaPP","mediaDP"
38394,"Thiago Heleno",3,38,19,5,9,22,4,0,18,7,72,0,15,0,0,0,0,0,0,0,0.5,0.131578947368421,0.236842105263158,0.578947368421053,0.105263157894737,0,0.473684210526316,0.184210526315789,1.89473684210526,0,0.394736842105263,0,0,0,0,0,0,0
38421,"Rafinha",4,26,8,3,8,23,2,4,19,2,41,1,0,0,0,0,0,0,0,0,0.307692307692308,0.115384615384615,0.307692307692308,0.884615384615385,0.0769230769230769,0.153846153846154,0.730769230769231,0.0769230769230769,1.57692307692308,0.0384615384615385,0,0,0,0,0,0,0,0
38425,"Fábio Ferreira",3,38,25,1,5,26,3,7,26,6,41,0,8,0,0,0,0,0,0,0,0.657894736842105,0.0263157894736842,0.131578947368421,0.684210526315789,0.0789473684210526,0.184210526315789,0.684210526315789,0.157894736842105,1.07894736842105,0,0.210526315789474,0,0,0,0,0,0,0
38431,"Diego Cavalieri",1,38,0,0,0,0,0,0,0,0,7,0,10,25,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0.184210526315789,0,0.263157894736842,0.657894736842105,0,0.526315789473684,0,0,0,0
38440,"Pierre",4,38,47,0,1,13,0,0,35,8,28,0,0,0,0,0,0,0,0,0,1.23684210526316,0,0.0263157894736842,0.342105263157895,0,0,0.921052631578947,0.210526315789474,0.736842105263158,0,0,0,0,0,0,0,0,0
38451,"Carlinhos",2,38,14,0,7,11,0,2,5,2,27,0,2,0,1,0,0,0,0,0,0.368421052631579,0,0.184210526315789,0.289473684210526,0,0.0526315789473684,0.131578947368421,0.0526315789473684,0.710526315789474,0,0.0526315789473684,0,0.0263157894736842,0,0,0,0,0
38515,"Marquinhos",3,38,24,1,2,17,1,3,11,6,24,0,9,0,0,0,0,0,0,0,0.631578947368421,0.0263157894736842,0.0526315789473684,0.447368421052632,0.0263157894736842,0.0789473684210526,0.289473684210526,0.157894736842105,0.631578947368421,0,0.236842105263158,0,0,0,0,0,0,0
38523,"Edílson",2,38,48,12,11,31,1,0,39,8,123,2,12,0,1,0,2,0,0,0,1.26315789473684,0.315789473684211,0.289473684210526,0.815789473684211,0.0263157894736842,0,1.02631578947368,0.210526315789474,3.23684210526316,0.0526315789473684,0.315789473684211,0,0.0263157894736842,0,0.0526315789473684,0,0,0
38530,"Cleiton Xavier",4,38,24,5,7,14,4,2,13,3,76,6,0,0,0,0,0,0,0,0,0.631578947368421,0.131578947368421,0.184210526315789,0.368421052631579,0.105263157894737,0.0526315789473684,0.342105263157895,0.0789473684210526,2,0.157894736842105,0,0,0,0,0,0,0,0
38573,"Nilton",4,33,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303030303030303,0.0303030303030303,0,0,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0
38579,"Rodrigo Mancha",4,38,9,2,3,5,0,1,9,1,12,0,0,0,0,0,0,0,0,0,0.236842105263158,0.0526315789473684,0.0789473684210526,0.131578947368421,0,0.0263157894736842,0.236842105263158,0.0263157894736842,0.315789473684211,0,0,0,0,0,0,0,0,0
38617,"Danilinho",5,25,7,0,0,8,0,0,8,2,11,1,0,0,0,0,0,0,0,0,0.28,0,0,0.32,0,0,0.32,0.08,0.44,0.04,0,0,0,0,0,0,0,0
38632,"Matheus Ferraz",3,38,51,3,6,17,2,4,24,6,80,1,7,0,0,0,1,0,0,0,1.34210526315789,0.0789473684210526,0.157894736842105,0.447368421052632,0.0526315789473684,0.105263157894737,0.631578947368421,0.157894736842105,2.10526315789474,0.0263157894736842,0.184210526315789,0,0,0,0.0263157894736842,0,0,0
38738,"Douglas",4,38,41,11,14,32,4,2,20,3,151,5,0,0,1,0,0,0,0,0,1.07894736842105,0.289473684210526,0.368421052631579,0.842105263157895,0.105263157894737,0.0526315789473684,0.526315789473684,0.0789473684210526,3.97368421052632,0.131578947368421,0,0,0.0263157894736842,0,0,0,0,0
38763,"Marcinho",4,8,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0
38822,"Leandro Guerreiro",4,38,47,1,10,19,0,1,51,7,92,1,0,0,0,0,0,0,0,0,1.23684210526316,0.0263157894736842,0.263157894736842,0.5,0,0.0263157894736842,1.34210526315789,0.184210526315789,2.42105263157895,0.0263157894736842,0,0,0,0,0,0,0,0
38852,"Anderson",4,38,24,4,4,15,1,1,15,1,58,2,0,0,1,0,0,0,0,0,0.631578947368421,0.105263157894737,0.105263157894737,0.394736842105263,0.0263157894736842,0.0263157894736842,0.394736842105263,0.0263157894736842,1.52631578947368,0.0526315789473684,0,0,0.0263157894736842,0,0,0,0,0
38908,"Renato",4,38,30,4,4,29,2,1,56,2,126,3,0,0,0,0,0,0,0,0,0.789473684210526,0.105263157894737,0.105263157894737,0.763157894736842,0.0526315789473684,0.0263157894736842,1.47368421052632,0.0526315789473684,3.31578947368421,0.0789473684210526,0,0,0,0,0,0,0,0
